source_tag,mode,state,rapidity,source_file,output_file
split251118,poly3Pole,nonprompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_ctauCut_y1p6_2p4_251118.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/split251118_poly3Pole/ratioDataMC_AA_BtoJpsi_DATA_fwd.root
split251103,sourceFunc,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_ctauCut_y0_1p6_251103.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/split251103_sourceFunc/ratioDataMC_AA_Jpsi_DATA_mid.root
split251103,sourceFunc,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_ctauCut_y1p6_2p4_251103.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/split251103_sourceFunc/ratioDataMC_AA_Jpsi_DATA_fwd.root
split251103,sourceFunc,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_ctauCut_y0_1p6_251103.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/split251103_sourceFunc/ratioDataMC_AA_BtoJpsi_DATA_mid.root
split251103,sourceFunc,nonprompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_ctauCut_y1p6_2p4_251103.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/split251103_sourceFunc/ratioDataMC_AA_BtoJpsi_DATA_fwd.root
split251103,doubleExp,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_ctauCut_y0_1p6_251103.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/split251103_doubleExp/ratioDataMC_AA_Jpsi_DATA_mid.root
split251103,doubleExp,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_ctauCut_y1p6_2p4_251103.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/split251103_doubleExp/ratioDataMC_AA_Jpsi_DATA_fwd.root
split251103,doubleExp,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_ctauCut_y0_1p6_251103.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/split251103_doubleExp/ratioDataMC_AA_BtoJpsi_DATA_mid.root
split251103,doubleExp,nonprompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_ctauCut_y1p6_2p4_251103.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/split251103_doubleExp/ratioDataMC_AA_BtoJpsi_DATA_fwd.root
split251103,poly3Pole,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_ctauCut_y0_1p6_251103.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/split251103_poly3Pole/ratioDataMC_AA_Jpsi_DATA_mid.root
split251103,poly3Pole,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_ctauCut_y1p6_2p4_251103.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/split251103_poly3Pole/ratioDataMC_AA_Jpsi_DATA_fwd.root
split251103,poly3Pole,nonprompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_ctauCut_y0_1p6_251103.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/split251103_poly3Pole/ratioDataMC_AA_BtoJpsi_DATA_mid.root
split251103,poly3Pole,nonprompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_BtoJpsi_DATA_ctauCut_y1p6_2p4_251103.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_candidates_260508/split251103_poly3Pole/ratioDataMC_AA_BtoJpsi_DATA_fwd.root
